"PK_PRODUNITID"|"FK_SUPPLIERID"|"FK_PRODUCTID"|"UPC_CODE"|"INVENTORY_CODE"|"PRICE"|"VOLUME"|"SHIPWEIGHT"|"SHIPHEIGHT"|"SHIPWIDTH"|"SHIPLENGTH"|"VOLUMESALE"|"VOLUMEUNIT"|"DATEMODIFIED"|"DATECREATED"|"STATUS"
"2"|"0"|"1"||"#1044C"|"9"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-28 15:10:22"|"2008-08-18 14:38:54"|"active"
"3"|"0"|"1"||"#1044C"|"8.75"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 16:42:50"|"2008-08-18 14:42:50"|"active"
"4"|"0"|"1"||"#1044"|"28"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-09-29 10:53:16"|"2008-08-18 14:43:25"|"active"
"5"|"0"|"1"||"#1044A"|"26"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 16:43:49"|"2008-08-18 14:43:49"|"active"
"6"|"0"|"2"||"#1045C"|"9.5"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 16:44:35"|"2008-08-18 14:44:35"|"active"
"7"|"0"|"2"||"#1045C"|"9.25"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 16:45:00"|"2008-08-18 14:45:00"|"active"
"8"|"0"|"2"||"#1045"|"29"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 16:45:37"|"2008-08-18 14:45:37"|"active"
"9"|"0"|"2"||"#1045A"|"27"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 16:49:20"|"2008-08-18 14:49:20"|"active"
"10"|"0"|"3"||"#1049C"|"9"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 16:52:25"|"2008-08-18 14:52:25"|"active"
"11"|"0"|"3"||"#1049C"|"8.75"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 16:52:43"|"2008-08-18 14:52:43"|"active"
"12"|"0"|"3"||"#1049"|"28.5"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 16:53:10"|"2008-08-18 14:53:10"|"active"
"13"|"0"|"3"||"#1049A"|"26.5"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 16:53:28"|"2008-08-18 14:53:28"|"active"
"14"|"0"|"4"||"#1056C"|"9.5"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 16:53:57"|"2008-08-18 14:53:57"|"active"
"15"|"0"|"4"||"#1056C"|"9.25"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 16:54:23"|"2008-08-18 14:54:23"|"active"
"16"|"0"|"4"||"#1056"|"27"|"12"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-09-29 17:29:27"|"2008-08-18 14:54:55"|"active"
"17"|"0"|"4"||"#1056"|"29"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 16:56:05"|"2008-08-18 14:56:05"|"active"
"18"|"0"|"5"||"#1048C"|"9.5"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 16:56:38"|"2008-08-18 14:56:38"|"active"
"19"|"0"|"5"||"#1048C"|"9.25"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 16:57:18"|"2008-08-18 14:57:18"|"active"
"20"|"0"|"5"||"#1048"|"29"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 16:57:34"|"2008-08-18 14:57:34"|"active"
"21"|"0"|"5"||"#1048A"|"27"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 16:58:03"|"2008-08-18 14:58:03"|"active"
"22"|"0"|"6"||"#1060C"|"9.5"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 16:58:40"|"2008-08-18 14:58:40"|"active"
"23"|"0"|"6"||"#1060C"|"9.25"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 16:58:57"|"2008-08-18 14:58:57"|"active"
"24"|"0"|"6"||"#1060"|"30"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:00:06"|"2008-08-18 15:00:06"|"active"
"25"|"0"|"6"||"#1060A"|"28"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:00:32"|"2008-08-18 15:00:32"|"active"
"26"|"0"|"7"||"#1059C"|"8.5"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 17:00:52"|"2008-08-18 15:00:52"|"active"
"27"|"0"|"7"||"#1059C"|"8.25"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:01:19"|"2008-08-18 15:01:19"|"active"
"28"|"0"|"7"||"#1059"|"26"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:01:58"|"2008-08-18 15:01:58"|"active"
"29"|"0"|"7"||"#1059A"|"24"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:02:14"|"2008-08-18 15:02:14"|"active"
"30"|"0"|"8"||"#1046C"|"7.5"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 17:02:50"|"2008-08-18 15:02:50"|"active"
"31"|"0"|"8"||"#1046C"|"7.25"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:03:10"|"2008-08-18 15:03:10"|"active"
"32"|"0"|"8"||"#1046"|"25"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:03:29"|"2008-08-18 15:03:29"|"active"
"33"|"0"|"0"|||"0"|"0"|"0"|"0"|"0"|"0"|"0"||"2008-08-18 17:06:02"|"2008-08-18 15:06:02"|"active"
"34"|"0"|"8"||"#1046"|"25"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-09-29 13:34:31"|"2008-08-18 15:08:14"|"deleted"
"35"|"0"|"8"||"#1046A"|"23"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:08:30"|"2008-08-18 15:08:30"|"active"
"36"|"0"|"9"||"#1047C"|"7"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 17:08:50"|"2008-08-18 15:08:50"|"active"
"37"|"0"|"9"||"#1047C"|"6.75"|"12"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:09:07"|"2008-08-18 15:09:07"|"active"
"38"|"0"|"9"||"#1047"|"24"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:09:25"|"2008-08-18 15:09:25"|"active"
"39"|"0"|"9"||"#1047A"|"22"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:09:36"|"2008-08-18 15:09:36"|"active"
"40"|"0"|"10"||"1050A1"|"3.5"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-29 13:40:05"|"2008-08-18 15:10:06"|"active"
"41"|"0"|"10"||"1050B1"|"7"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-29 13:40:24"|"2008-08-18 15:10:22"|"active"
"42"|"0"|"10"||"1050C1"|"41"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-09-29 13:40:46"|"2008-08-18 15:10:35"|"active"
"43"|"0"|"11"||"1050A2"|"3.5"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-29 13:42:57"|"2008-08-18 15:10:46"|"active"
"44"|"0"|"11"||"1050B2"|"7"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-29 13:43:44"|"2008-08-18 15:10:55"|"active"
"45"|"0"|"11"||"1050C2"|"41"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-09-29 13:44:10"|"2008-08-18 15:11:10"|"active"
"46"|"0"|"12"||"1050A3"|"3.5"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-29 13:46:00"|"2008-08-18 15:11:19"|"active"
"47"|"0"|"12"||"B3"|"7"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-29 13:46:18"|"2008-08-18 15:11:29"|"active"
"48"|"0"|"12"||"C3"|"41"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-09-29 13:46:33"|"2008-08-18 15:11:40"|"active"
"49"|"0"|"13"||"1050A4"|"3.5"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-29 14:09:56"|"2008-08-18 15:11:50"|"active"
"50"|"0"|"13"||"B4"|"7"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-09-29 14:09:25"|"2008-08-18 15:12:34"|"active"
"51"|"0"|"13"||"C4"|"41"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-09-29 14:09:42"|"2008-08-18 15:12:47"|"active"
"53"|"0"|"14"||"#1054"|"11"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 17:14:10"|"2008-08-18 15:14:10"|"active"
